transactionID,carrierID,customerID,amount,date
126,3,751,8.79,2008-09-19 19:46:10
127,1,785,19.0,2005-01-13 13:31:25
128,2,198,14.29,2007-06-20 17:19:48
129,2,583,7.15,2009-07-06 19:06:17
130,3,562,11.87,2005-05-28 13:20:00
131,3,235,9.95,2005-12-16 17:29:21
132,1,173,7.26,2005-07-02 01:34:48
133,3,304,9.96,2008-08-25 21:46:25
134,2,483,16.47,2007-03-10 10:34:27
135,2,625,14.28,2007-06-04 21:13:16
136,3,671,19.91,2005-06-25 21:55:56
137,2,286,6.42,2008-11-09 10:29:51
138,3,171,10.72,2009-11-24 00:22:46
139,2,300,19.82,2005-06-14 12:25:04
140,3,990,5.19,2009-08-20 11:36:48
141,2,666,7.26,2005-10-31 07:37:51
142,3,293,18.0,2006-03-05 23:04:03
143,2,568,11.72,2005-11-05 04:32:44
144,1,147,15.32,2006-01-20 11:45:49
145,3,630,5.5,2005-09-16 19:30:52
146,1,532,17.84,2009-03-04 23:18:22
147,1,179,7.09,2008-10-31 07:18:30
148,1,87,6.42,2007-05-28 12:52:43
149,3,690,8.4,2006-01-03 03:33:35
150,1,819,15.42,2008-08-06 21:17:19
151,3,624,10.53,2005-05-28 18:00:59
152,3,748,18.34,2007-10-12 21:31:24
153,1,800,8.36,2007-10-29 15:03:05
154,2,721,11.41,2007-10-18 22:17:06
155,2,742,17.07,2007-04-13 19:12:07
156,1,667,15.63,2005-02-28 11:03:08
157,3,692,18.6,2008-10-15 09:36:20
158,3,19,13.95,2005-06-21 15:33:02
159,3,412,5.9,2009-06-19 11:54:37
160,1,700,18.11,2006-05-22 01:52:25
161,2,822,13.89,2006-10-12 10:41:59
162,3,451,5.07,2009-06-29 14:20:57
163,1,369,18.5,2005-06-19 20:55:58
164,1,182,16.99,2005-09-13 17:49:42
165,2,140,6.15,2009-12-11 01:36:41
166,2,477,10.78,2008-02-29 12:15:24
167,2,368,11.12,2006-12-31 13:49:30
168,2,35,16.89,2009-12-03 00:39:11
169,2,928,9.84,2008-06-29 03:11:33
170,1,255,13.94,2007-12-11 15:12:21
171,2,398,16.48,2006-06-07 18:01:11
172,3,462,10.59,2008-08-24 15:47:48
173,3,486,9.52,2005-07-16 00:48:28
174,2,747,17.17,2009-04-29 09:55:55
175,1,289,11.89,2005-08-15 10:31:53
176,1,228,17.59,2008-02-25 15:57:24
177,1,897,13.71,2006-04-14 17:41:57
178,2,389,12.12,2009-02-19 07:34:16
179,2,882,16.75,2006-02-03 01:21:33
180,2,790,6.73,2007-01-29 11:25:50
181,2,194,17.15,2005-08-06 09:55:28
182,3,908,10.24,2007-06-19 18:21:49
183,1,622,5.39,2005-08-15 20:28:14
184,2,159,13.09,2007-12-06 12:01:52
185,1,585,7.68,2007-03-25 03:39:39
186,3,252,7.63,2006-10-24 11:04:58
187,2,181,8.96,2009-06-29 11:08:01
188,3,420,5.91,2006-09-05 13:02:06
189,1,568,6.04,2007-05-08 22:25:49
190,2,126,6.5,2009-10-28 02:57:03
191,3,529,5.98,2008-10-19 01:21:18
192,3,933,17.66,2009-05-08 14:38:45
193,2,129,13.92,2009-03-25 06:14:50
194,1,178,10.23,2007-01-19 02:38:11
195,2,845,17.96,2007-10-08 11:36:48
196,1,966,11.0,2009-09-09 09:32:05
197,2,228,13.56,2007-02-04 16:12:18
198,2,683,13.35,2009-05-03 02:26:59
199,3,748,17.15,2005-03-11 12:20:09
200,1,901,15.65,2005-03-15 14:49:36
201,2,864,11.52,2008-05-06 15:57:51
202,3,173,10.65,2009-05-26 11:09:08
203,3,910,18.64,2007-07-09 20:40:31
204,3,692,13.18,2008-09-19 09:52:33
205,3,983,8.48,2009-11-18 04:53:30
206,3,569,16.04,2005-02-01 11:28:06
207,2,956,17.33,2007-06-26 21:18:01
208,1,935,8.22,2006-03-01 16:12:53
209,1,349,14.51,2005-05-08 12:02:05
210,3,179,17.9,2005-01-11 02:17:47
211,1,576,16.12,2009-01-15 09:39:01
212,1,335,11.38,2005-12-18 00:35:20
213,3,736,9.93,2005-09-19 15:23:51
214,2,434,15.94,2007-04-18 00:35:54
215,2,113,6.31,2008-07-28 02:12:22
216,1,437,19.32,2006-02-03 07:26:42
217,1,632,15.33,2006-11-06 02:25:32
218,2,554,16.43,2005-07-07 11:30:14
219,1,266,6.21,2007-12-16 10:48:22
220,2,890,8.21,2007-09-11 13:47:29
221,1,68,19.09,2007-06-01 23:27:45
222,2,188,10.45,2006-04-21 19:19:43
223,3,785,9.37,2006-12-25 08:52:29
224,1,159,15.33,2009-06-20 05:49:57
225,3,720,15.51,2007-07-05 05:15:21
226,3,320,8.04,2006-07-31 06:25:49
227,3,798,15.21,2007-05-10 15:49:13
228,3,867,18.4,2006-06-22 17:37:18
229,1,926,18.36,2008-08-14 06:25:37
230,1,773,16.07,2007-07-09 16:19:20
231,1,17,19.39,2006-08-25 16:17:10
232,2,26,9.36,2008-12-16 20:53:56
233,3,65,16.17,2009-02-11 17:46:24
234,2,277,14.48,2007-08-18 01:08:17
235,1,450,17.94,2008-04-28 12:18:38
236,3,929,19.8,2006-05-13 21:20:08
237,3,605,19.15,2007-02-11 23:12:15
238,2,591,6.32,2007-09-04 21:46:40
239,3,143,7.88,2006-11-20 05:33:20
240,2,160,11.65,2008-01-01 04:58:45
241,1,865,6.29,2009-12-05 08:39:12
242,1,2,12.38,2008-06-25 06:48:58
243,2,139,6.14,2007-03-03 03:21:07
244,2,869,19.06,2009-10-31 00:36:16
245,1,226,7.83,2008-05-03 22:51:36
246,2,625,12.06,2008-11-17 02:18:32
247,1,145,14.94,2005-07-12 02:43:09
248,3,129,8.16,2008-11-24 08:16:49
249,2,2,9.93,2007-03-20 10:02:03
250,2,296,15.85,2008-04-01 07:45:02
251,3,956,14.42,2008-03-11 10:23:17
252,3,641,18.99,2005-07-11 13:12:26
253,3,105,10.57,2005-07-22 01:02:44
254,3,30,15.13,2008-07-03 12:00:23
255,3,809,11.27,2008-07-05 12:38:24
256,2,154,7.16,2008-07-21 07:12:28
257,2,804,9.44,2006-08-31 19:03:03
258,1,240,7.14,2007-05-01 15:26:15
259,3,277,12.78,2007-12-28 02:08:46
260,2,218,7.4,2008-06-15 12:13:47
261,2,576,16.57,2006-07-25 03:28:54
262,3,750,10.13,2007-02-15 01:30:06
263,3,76,13.09,2005-08-10 02:16:12
264,3,166,5.15,2008-04-15 19:05:50
265,2,203,10.87,2009-11-20 22:42:37
266,1,237,14.9,2007-12-08 11:09:13
267,2,662,5.19,2006-02-24 23:13:39
268,2,605,5.91,2006-05-13 12:24:26
269,3,617,16.52,2009-07-12 06:32:00
270,1,253,9.57,2007-06-12 15:58:43
271,2,55,7.96,2005-01-06 05:55:58
272,2,182,17.75,2005-02-14 11:24:10
273,3,397,8.52,2005-08-20 10:32:45
274,2,742,11.72,2007-01-14 06:17:04
275,3,33,15.41,2007-10-01 04:16:20
276,3,86,9.72,2006-02-02 18:56:18
277,1,601,9.04,2005-07-07 16:45:50
278,3,672,10.06,2008-03-26 21:16:03
279,1,829,16.46,2008-09-12 05:15:41
280,3,659,15.67,2007-08-28 11:46:38
281,2,149,15.1,2009-11-26 11:59:38
282,2,816,18.57,2009-02-23 13:26:09
283,1,988,16.05,2006-05-05 08:56:55
284,3,907,5.48,2009-11-20 12:45:14
285,1,373,8.95,2007-12-13 19:06:27
286,3,758,9.0,2007-11-17 20:19:31
287,3,569,14.65,2007-06-03 17:33:39
288,3,260,14.21,2008-04-03 12:59:03
289,3,153,11.64,2009-07-27 19:22:35
290,3,593,12.32,2005-06-19 12:59:31
291,1,203,14.71,2007-06-20 11:28:32
292,2,962,15.4,2005-12-06 02:27:17
293,1,465,12.63,2005-11-16 05:49:49
294,2,986,9.73,2008-04-06 03:01:29
295,1,614,11.12,2006-01-06 06:43:41
296,2,549,12.86,2009-04-20 10:27:10
297,2,546,18.01,2007-03-01 06:13:48
298,1,833,14.74,2008-08-20 14:22:05
299,3,188,18.7,2007-09-05 17:25:57
300,3,418,7.58,2005-06-30 20:14:00
301,2,545,8.17,2006-09-02 06:14:17
302,2,858,10.23,2005-03-01 06:47:26
303,2,543,10.92,2006-05-14 22:06:59
304,2,972,5.48,2006-11-01 19:25:33
305,2,225,8.36,2005-05-04 00:24:23
306,2,73,6.39,2008-11-23 19:36:13
307,2,354,15.23,2008-10-08 11:01:36
308,2,467,12.45,2005-02-20 23:42:52
309,1,266,11.05,2007-11-15 14:33:02
310,3,431,12.07,2005-12-01 22:05:20
311,1,766,6.3,2007-08-15 02:57:20
312,1,687,11.8,2006-11-01 10:28:44
313,3,822,5.8,2008-08-21 11:15:50
314,3,607,9.79,2006-03-15 16:50:11
315,2,714,7.29,2007-08-01 01:02:08
316,3,878,12.97,2005-12-26 16:10:09
317,3,425,13.31,2009-11-20 14:47:23
318,2,194,10.91,2005-07-28 16:11:18
319,1,22,10.98,2005-09-24 00:58:03
320,1,164,5.61,2008-12-18 19:58:49
321,1,709,19.23,2005-10-31 18:29:03
322,1,915,9.74,2006-12-30 03:27:03
323,2,516,12.75,2008-06-19 04:33:12
324,1,442,19.5,2005-11-01 14:25:05
325,2,428,7.45,2008-11-24 05:25:56
326,1,108,14.43,2008-03-17 07:11:57
327,3,287,11.18,2005-10-13 03:36:38
328,2,249,14.13,2008-11-20 11:49:35
329,2,884,6.7,2006-07-23 11:33:51
330,3,247,18.45,2008-02-12 15:11:56
331,2,170,8.62,2007-08-14 00:18:39
332,1,780,8.81,2009-01-03 10:39:07
333,1,423,5.97,2006-12-03 20:33:53
334,1,379,6.96,2009-05-31 04:52:59
335,3,611,13.61,2006-03-18 16:10:14
336,2,497,15.61,2008-04-21 04:04:57
337,1,895,15.36,2005-04-11 16:08:37
338,3,686,15.11,2006-08-03 13:41:13
339,2,982,7.25,2006-04-17 07:06:56
340,2,157,15.21,2007-04-17 12:04:24
341,2,472,8.9,2008-10-06 05:01:40
342,3,308,11.43,2006-11-23 04:06:07
343,2,206,10.89,2008-12-30 09:03:21
344,3,749,18.32,2005-08-10 08:32:55
345,1,946,9.61,2009-11-11 19:23:34
346,3,440,11.85,2007-08-12 20:05:54
347,1,61,12.77,2006-01-27 13:07:12
348,1,535,14.37,2006-04-17 21:00:46
349,2,573,8.03,2008-03-20 16:09:31
350,1,688,18.19,2009-02-01 19:20:19
351,3,93,8.23,2005-03-14 04:14:57
352,1,971,15.87,2009-11-01 04:27:38
353,3,201,13.19,2008-11-02 00:13:12
354,3,243,15.01,2006-01-27 06:18:51
355,2,180,10.98,2009-08-28 02:44:23
356,3,374,13.82,2009-11-15 07:09:09
357,3,414,17.63,2007-05-25 17:23:45
358,3,647,16.85,2006-04-29 12:39:56
359,2,950,13.4,2009-04-12 14:17:55
360,2,392,6.61,2006-09-11 05:34:44
361,2,800,16.07,2007-07-23 00:41:54
362,2,652,5.86,2009-05-21 12:25:28
363,3,917,16.21,2006-02-18 22:20:32
364,3,219,14.11,2007-10-31 04:28:13
365,2,862,16.56,2008-07-10 14:01:23
366,1,401,11.66,2006-02-06 13:40:05
367,2,268,16.93,2007-06-17 00:20:10
368,1,371,16.66,2009-11-17 07:42:08
369,3,442,5.41,2006-09-25 06:37:33
370,3,856,8.54,2009-09-19 13:23:22
371,3,957,6.1,2007-10-20 21:22:05
372,3,103,12.27,2006-10-17 15:59:50
373,2,489,17.68,2006-10-31 09:58:37
374,3,439,12.5,2007-01-24 16:29:23
375,2,593,10.63,2008-11-24 22:18:57
376,2,972,7.02,2006-09-16 03:03:12
377,1,925,11.6,2009-07-15 19:53:11
378,2,974,12.5,2008-06-28 04:14:04
379,1,12,9.46,2007-08-13 12:11:52
380,3,591,19.53,2006-01-16 05:05:45
381,3,795,5.54,2009-10-27 11:28:53
382,2,985,16.51,2008-07-19 09:51:20
383,3,77,8.93,2009-05-24 11:05:12
384,3,796,12.87,2006-08-26 19:19:03
385,1,114,15.59,2006-05-03 19:06:19
386,1,720,17.48,2007-05-22 14:45:18
387,3,963,14.65,2009-02-23 12:04:00
388,2,122,19.12,2006-07-17 20:02:23
389,1,22,10.67,2009-01-13 16:45:02
390,3,701,17.13,2006-12-10 21:57:16
391,2,533,16.88,2009-04-05 05:54:52
392,1,861,15.15,2009-05-24 17:01:09
393,3,712,10.71,2007-05-31 07:46:53
394,1,619,17.33,2009-11-07 01:25:16
395,1,322,18.93,2007-11-25 02:44:53
396,1,470,17.93,2007-12-22 23:51:57
397,2,974,9.1,2008-04-16 00:36:36
398,1,288,18.41,2006-08-13 12:06:56
399,2,535,13.95,2007-01-13 05:55:30
400,3,47,16.33,2007-01-18 21:52:04
401,1,599,11.36,2005-05-12 19:12:56
402,3,446,14.25,2008-02-09 05:48:05
403,3,533,16.8,2005-05-27 22:04:54
404,1,673,12.21,2005-11-10 22:16:06
405,3,816,19.7,2008-10-06 14:11:38
406,2,475,15.36,2006-10-23 17:45:16
407,2,852,12.45,2006-02-21 00:49:15
408,2,630,17.69,2007-10-06 02:21:18
409,3,552,6.25,2005-04-08 22:15:42
410,1,583,15.26,2009-05-03 12:33:38
411,1,81,8.94,2006-11-21 21:21:35
412,2,625,5.95,2007-12-09 13:33:18
413,2,122,8.39,2005-08-14 02:40:25
414,2,899,6.66,2006-08-05 21:42:08
415,3,269,14.31,2006-05-05 20:00:37
416,1,164,6.72,2008-07-13 19:08:19
417,2,598,5.1,2007-05-05 23:13:57
418,1,289,7.0,2006-06-03 23:15:06
419,1,407,11.15,2006-12-24 01:21:25
420,3,983,17.44,2007-06-30 20:09:24
421,3,90,6.68,2007-03-09 00:18:43
422,1,297,11.15,2008-07-08 05:12:14
423,2,817,7.65,2008-05-31 19:10:36
424,2,908,13.16,2009-12-24 01:05:47
425,2,63,5.12,2008-04-13 20:56:36
426,1,531,19.26,2007-04-02 13:31:49
427,2,398,7.29,2005-08-14 18:54:28
428,2,656,8.24,2005-10-02 08:58:07
429,3,488,6.77,2009-08-27 03:26:26
430,3,984,18.81,2009-07-29 10:15:00
431,3,142,6.69,2008-02-12 11:15:15
432,3,803,18.4,2009-12-20 01:14:51
433,1,85,8.31,2005-10-24 12:22:13
434,3,183,9.57,2008-04-12 10:52:49
435,2,807,9.89,2008-04-11 00:37:41
436,2,847,18.59,2009-02-17 22:25:48
437,2,735,13.49,2008-01-11 05:33:57
438,3,635,6.88,2005-10-06 01:55:33
439,1,524,11.88,2008-06-19 12:34:48
440,3,603,17.92,2006-05-27 00:56:27
441,3,475,15.37,2005-04-09 23:13:55
442,3,385,17.91,2007-12-24 07:28:57
443,2,722,7.25,2008-10-27 18:51:43
444,1,967,5.79,2007-08-18 18:03:12
445,3,244,17.96,2006-06-03 23:05:40
446,3,725,12.68,2009-01-23 09:22:36
447,2,168,15.76,2008-12-06 11:48:49
448,1,800,8.74,2007-07-08 16:20:42
449,3,543,9.26,2007-11-24 17:53:12
450,2,930,9.76,2007-02-12 07:17:03
451,2,948,7.63,2006-09-18 15:05:52
452,3,213,6.28,2009-07-20 04:44:19
453,3,787,12.63,2005-03-08 05:33:15
454,2,136,12.27,2007-02-19 01:41:24
455,2,747,15.42,2008-12-18 20:33:13
456,1,423,10.9,2008-04-07 07:19:10
457,1,455,14.31,2007-12-21 00:17:34
458,2,397,15.21,2008-01-07 23:53:47
459,2,398,11.8,2005-05-16 04:35:12
460,3,906,10.38,2007-09-04 18:26:13
461,3,486,13.87,2008-09-09 03:23:49
462,3,123,8.23,2007-08-10 06:02:14
463,1,80,16.37,2007-03-01 13:11:55
464,3,883,16.54,2007-01-17 01:16:32
465,1,889,14.44,2009-12-06 02:08:02
466,1,87,18.72,2005-05-10 04:52:48
467,3,564,17.42,2006-12-12 02:10:33
468,2,305,12.63,2006-06-16 02:10:49
469,2,208,6.12,2005-03-24 08:36:50
470,3,660,6.64,2009-08-10 04:58:17
471,3,60,5.62,2007-08-10 22:05:06
472,3,514,19.26,2007-06-27 07:52:00
473,2,85,12.68,2009-07-16 18:22:36
474,3,515,17.43,2007-02-09 11:04:48
475,1,306,10.99,2005-07-30 08:18:46
476,2,951,14.45,2007-01-14 12:27:48
477,1,811,18.02,2007-03-20 07:23:47
478,2,556,6.16,2005-08-30 00:19:47
479,3,886,6.49,2005-04-17 15:53:38
480,2,518,14.66,2005-06-08 20:26:14
481,3,879,7.39,2005-03-22 07:50:45
482,1,113,19.67,2007-10-19 12:17:27
483,1,735,15.83,2006-01-29 01:33:59
484,1,829,13.96,2007-03-17 06:34:09
485,2,269,14.74,2007-02-18 20:58:49
486,1,686,14.98,2007-03-25 06:28:34
487,2,928,6.74,2009-10-30 10:33:38
488,2,547,13.19,2007-08-24 05:14:27
489,2,680,11.04,2008-02-24 11:45:46
490,1,935,11.2,2009-02-02 13:26:04
491,1,678,6.56,2009-11-08 23:15:23
492,3,266,14.09,2008-04-30 21:50:05
493,2,657,9.61,2006-05-06 15:11:19
494,3,246,14.51,2005-07-08 10:15:13
495,1,573,19.58,2006-07-12 20:46:58
496,2,636,8.62,2006-05-28 04:36:25
497,2,94,15.33,2005-07-31 16:24:48
498,1,906,16.55,2009-07-13 14:55:53
499,3,785,8.01,2006-03-12 12:27:26
500,3,494,6.9,2008-04-22 23:28:30
501,2,797,16.54,2008-02-06 07:46:48
502,2,629,15.87,2007-10-31 23:53:07
503,2,545,9.69,2008-03-24 15:32:21
504,2,543,8.5,2008-06-10 15:02:56
505,2,380,10.21,2009-03-16 08:55:22
506,1,104,15.4,2008-03-12 06:52:41
507,1,901,5.3,2005-07-17 16:50:12
508,2,722,14.54,2007-01-09 08:50:03
509,1,653,9.65,2008-08-29 06:38:30
510,3,529,13.03,2007-11-27 01:58:53
511,2,758,11.07,2005-01-07 01:36:32
512,2,532,14.84,2005-12-14 21:15:27
513,1,544,17.28,2005-08-28 21:05:37
514,3,716,16.54,2008-06-26 21:41:15
515,3,170,13.38,2007-12-11 02:50:15
516,1,936,17.34,2005-03-27 04:08:33
517,1,556,18.41,2007-06-25 04:17:28
518,2,766,16.76,2007-03-09 08:20:14
519,3,628,16.75,2008-11-21 16:42:22
520,1,717,15.92,2008-01-13 11:26:04
521,2,253,8.73,2009-12-24 19:43:48
522,3,600,6.38,2009-04-07 06:48:56
523,3,368,19.16,2007-04-27 17:29:12
524,3,574,13.95,2008-10-08 00:18:47
525,1,612,11.05,2007-12-31 05:43:24
526,1,51,11.0,2005-07-24 02:54:57
527,1,241,13.32,2008-12-28 17:15:42
528,2,80,17.86,2006-07-21 04:48:58
529,2,650,16.8,2006-05-13 16:26:24
530,1,136,14.63,2009-06-26 02:49:35
531,2,727,17.57,2008-10-07 03:43:40
532,2,918,18.74,2008-02-27 06:41:49
533,2,883,19.13,2009-10-05 19:22:14
534,2,985,9.35,2005-10-10 10:02:18
535,3,299,19.46,2008-11-16 10:40:13
536,2,747,19.45,2005-01-05 21:31:26
537,3,719,7.35,2005-06-30 11:32:23
538,3,422,6.9,2009-07-27 04:01:41
539,2,380,13.9,2006-10-05 13:33:28
540,2,679,8.67,2007-08-18 23:19:27
541,3,591,13.21,2007-07-25 20:48:01
542,2,239,16.1,2005-08-15 20:20:13
543,2,826,9.46,2008-10-15 15:50:30
544,3,917,11.84,2007-06-01 00:24:55
545,3,919,12.95,2009-06-05 22:07:32
546,2,182,9.77,2007-05-16 02:29:27
547,3,666,18.35,2007-09-14 21:04:26
548,2,617,15.37,2007-10-20 06:10:50
549,1,911,9.03,2006-01-02 04:07:58
550,1,605,12.16,2009-03-23 00:21:28
551,1,810,16.47,2005-07-12 14:01:14
552,1,66,9.7,2009-12-26 10:48:58
553,3,964,13.94,2007-02-16 03:42:36
554,3,840,12.96,2008-12-26 04:57:23
555,3,341,18.77,2006-08-05 16:50:37
556,2,573,13.32,2005-11-18 17:30:50
557,2,296,16.51,2005-01-23 08:51:14
558,1,848,18.91,2007-09-12 08:29:31
559,3,11,18.08,2007-07-23 10:20:43
560,2,720,8.89,2007-08-29 18:42:50
561,1,985,10.45,2009-11-08 00:10:44
562,3,49,6.87,2006-05-18 13:24:16
563,3,16,13.35,2007-10-30 06:08:11
564,1,98,18.42,2005-10-23 08:54:51
565,1,444,5.97,2009-12-30 19:40:16
566,2,254,7.45,2005-03-19 04:38:54
567,2,694,12.4,2008-08-12 22:02:07
568,2,47,14.01,2005-01-19 17:19:09
569,2,422,8.54,2006-06-11 10:29:36
570,1,557,14.75,2007-03-19 16:22:08
571,1,218,5.52,2007-11-30 20:16:52
572,1,860,15.5,2007-06-30 01:55:52
573,2,615,17.13,2009-11-04 03:42:25
574,3,841,8.54,2007-09-20 20:51:28
575,2,583,15.73,2008-10-17 06:00:55
576,1,117,5.91,2007-11-15 23:15:55
577,3,857,8.63,2009-06-11 13:46:36
578,1,615,11.86,2007-03-20 17:16:27
579,3,630,7.89,2009-01-18 20:31:35
580,2,917,19.81,2006-02-09 18:43:55
581,3,244,5.66,2007-04-04 09:40:04
582,3,793,17.6,2008-02-05 12:39:27
583,3,264,19.63,2008-03-20 06:18:10
584,3,878,16.03,2005-07-26 02:40:05
585,1,268,19.48,2007-07-28 20:06:22
586,2,327,17.58,2009-04-01 03:48:43
587,3,503,18.73,2005-07-20 23:21:55
588,1,227,6.62,2006-09-01 16:08:15
589,3,737,10.61,2006-10-25 23:20:10
590,2,492,6.47,2006-06-29 01:50:52
591,2,402,16.43,2009-06-21 12:26:17
592,1,838,15.19,2006-11-11 18:44:11
593,3,247,10.53,2007-02-10 23:27:31
594,3,146,11.98,2006-06-07 01:01:53
595,1,770,15.71,2005-09-10 15:49:42
596,3,998,11.87,2005-07-16 20:08:59
597,2,804,15.66,2005-05-21 08:14:42
598,2,469,12.29,2009-02-05 08:24:18
599,3,655,19.28,2009-06-29 11:56:14
600,2,333,6.24,2009-07-10 11:12:58
601,3,313,9.59,2008-12-11 09:18:54
602,1,33,6.38,2005-12-11 16:09:37
603,3,344,7.19,2006-01-08 00:43:14
604,2,742,17.48,2008-08-19 10:01:31
605,1,550,18.21,2007-11-16 17:08:53
606,2,777,5.04,2008-11-07 22:55:03
607,3,766,17.9,2008-06-29 10:52:54
